Executable,Stack Allocs,Stack Inspector Runs,Heap Allocs,Heap Frees,Summary Bytes Allocated,Average Bytes Per Allocation,Valgrind Runs,Valgrind Error Summary,Stack Allocs Fraction,Heap Allocs Fraction,Executable Size,Elapsed Time,Status
dynamorio/build/suite/tests/bin/linux.prctl,47,1,0,0,0,0,1,0,1,0,27912.0,0.464506149291992,True
dynamorio/build/suite/tests/bin/linux.mmap,33,1,0,0,0,0,1,0,1,0,27752.0,0.529439926147461,True
dynamorio/build/suite/tests/bin/linux.zero-length-mem-ranges,31,1,0,0,0,0,1,0,1,0,27768.0,0.708773851394653,True
dynamorio/build/suite/tests/bin/linux.signal0000,500135,1,0,0,0,0,1,0,1,0,28144.0,0.987519979476929,True
dynamorio/build/suite/tests/bin/linux.signal0001,3500171,1,0,0,0,0,1,0,1,0,28248.0,0.788311719894409,True
dynamorio/build/suite/tests/bin/linux.signal0010,500160,1,1,1,16384,16384,1,0,0.999998000643793,1.99935620730125E-06,28352.0,0.956887006759644,True
dynamorio/build/suite/tests/bin/linux.signal0011,3500207,1,1,0,32768,32768,1,0,0.999999714302693,2.85697307131462E-07,28408.0,3.08833956718445,True
dynamorio/build/suite/tests/bin/linux.signal0100,500137,1,0,0,0,0,1,0,1,0,28144.0,0.951641321182251,True
dynamorio/build/suite/tests/bin/linux.signal0101,3500173,1,0,0,0,0,1,0,1,0,28248.0,0.739644050598145,True
dynamorio/build/suite/tests/bin/linux.signal0110,500162,1,1,1,16384,16384,1,0,0.999998000651788,1.99934821248273E-06,28352.0,0.889699697494507,True
dynamorio/build/suite/tests/bin/linux.signal0111,3500209,1,1,0,32768,32768,1,0,0.999999714302856,2.85697143885653E-07,28408.0,3.01676535606384,True
dynamorio/build/suite/tests/bin/linux.signal1000,500139,1,0,0,0,0,1,1,1,0,28256.0,0.879096269607544,True
dynamorio/build/suite/tests/bin/linux.signal1001,3500175,1,0,0,0,0,1,0,1,0,28360.0,0.920211315155029,True
dynamorio/build/suite/tests/bin/linux.signal1010,500164,1,1,1,16384,16384,1,1,0.999998000659782,1.99934021772815E-06,28464.0,0.967396020889282,True
dynamorio/build/suite/tests/bin/linux.signal1011,3500211,1,1,0,32768,32768,1,1,0.999999714303019,2.8569698064003E-07,28520.0,3.01143074035645,True
dynamorio/build/suite/tests/bin/linux.signal1100,500141,1,0,0,0,0,1,1,1,0,28256.0,2.68652319908142,True
dynamorio/build/suite/tests/bin/linux.signal1101,3500177,1,0,0,0,0,1,0,1,0,28360.0,1.90854001045227,True
dynamorio/build/suite/tests/bin/linux.signal1110,500166,1,1,1,16384,16384,1,1,0.999998000667777,1.99933222303751E-06,28464.0,2.46749091148376,True
dynamorio/build/suite/tests/bin/linux.signal1111,3500213,1,1,0,32768,32768,1,1,0.999999714303183,2.85696817394594E-07,28520.0,4.51299858093262,True
dynamorio/build/suite/tests/bin/linux.sigplain000,500082,1,0,0,0,0,1,0,1,0,28072.0,0.924416065216065,True
dynamorio/build/suite/tests/bin/linux.sigplain001,3500108,1,0,0,0,0,1,0,1,0,28176.0,3.79516005516052,True
dynamorio/build/suite/tests/bin/linux.sigplain010,500101,1,1,1,16384,16384,1,0,0.999998000407917,1.99959208321502E-06,28280.0,1.81190609931946,True
dynamorio/build/suite/tests/bin/linux.sigplain011,3500135,1,1,0,32768,32768,1,0,0.999999714296816,2.85703184104846E-07,28336.0,3.81709313392639,True
dynamorio/build/suite/tests/bin/linux.sigplain100,500084,1,0,0,0,0,1,0,1,0,28072.0,1.51009798049927,True
dynamorio/build/suite/tests/bin/linux.sigplain101,3500110,1,0,0,0,0,1,0,1,0,28176.0,3.50926232337952,True
dynamorio/build/suite/tests/bin/linux.sigplain110,500103,1,1,1,16384,16384,1,0,0.999998000415914,1.99958408651001E-06,28280.0,2.6552791595459,True
dynamorio/build/suite/tests/bin/linux.sigplain111,3500137,1,1,0,32768,32768,1,0,0.999999714296979,2.85703020852321E-07,28336.0,4.38276553153992,True
dynamorio/build/suite/tests/bin/linux.sigaction,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,27976.0,1.97778582572937,False
dynamorio/build/suite/tests/bin/linux.syscall_pwait,3344,1,13,13,74368,5720.61538461539,1,4,0.996127494787012,0.00387250521298779,59512.0,51.04833984375,True
dynamorio/build/suite/tests/bin/linux.sigaction_nosignals,280161,1,3,3,571,190.333333333333,1,0,0.999989291986122,1.0708013877586E-05,36960.0,0.729128360748291,True
dynamorio/build/suite/tests/bin/linux.sigcontext,296,1,3,3,584,194.666666666667,1,0,0.989966555183947,0.0100334448160535,27760.0,0.533903360366821,True
dynamorio/build/suite/tests/bin/linux.thread,304,1,3,3,533,177.666666666667,1,2,0.990228013029316,0.00977198697068404,27888.0,0.622864484786987,True
dynamorio/build/suite/tests/bin/linux.threadexit,241,1,3,3,544,181.333333333333,1,2,0.987704918032787,0.0122950819672131,27896.0,0.661471366882324,True
dynamorio/build/suite/tests/bin/linux.threadexit2,358,1,3,3,547,182.333333333333,1,1,0.991689750692521,0.00831024930747923,27896.0,0.692757606506348,True
dynamorio/build/suite/tests/bin/linux.signalfd,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,valgrind parsing error,28112.0,1200.09301614761,False
dynamorio/build/suite/tests/bin/linux.alarm,35,1,0,0,0,0,1,0,1,0,27888.0,10.763037443161,True
dynamorio/build/suite/tests/bin/linux.signal_race,50033,1,0,0,0,0,1,0,1,0,28088.0,20.3666141033173,True
dynamorio/build/suite/tests/bin/linux.signal_racesys,89675,1,0,0,0,0,1,0,1,0,28264.0,1.21623516082764,True
dynamorio/build/suite/tests/bin/linux.signal_pre_syscall,100444,1,0,0,0,0,1,0,1,0,28136.0,1.90803384780884,True
dynamorio/build/suite/tests/bin/linux.bad-signal-stack,72,1,4,3,33338,8334.5,1,4,0.947368421052632,0.0526315789473684,27976.0,0.929808855056763,True
dynamorio/build/suite/tests/bin/linux.eintr,103,1,1,1,272,272,1,0,0.990384615384615,0.00961538461538462,32864.0,2.77058053016663,True
dynamorio/build/suite/tests/bin/linux.sigsuspend,121,1,8,8,4382,547.75,1,0,0.937984496124031,0.062015503875969,32984.0,1.32071113586426,True
dynamorio/build/suite/tests/bin/linux.signest,4598,1,5,5,656,131.2,1,0,0.998913751900934,0.00108624809906583,32736.0,103.674827814102,True
dynamorio/build/suite/tests/bin/linux.sigmask,322,1,10,10,4574,457.4,1,0,0.969879518072289,0.0301204819277108,33392.0,1.01646780967712,True
dynamorio/build/suite/tests/bin/linux.mangle_asynch,4100,1,8,8,2176,272,1,0,0.998052580331061,0.00194741966893866,28312.0,21.5166392326355,True
dynamorio/build/suite/tests/bin/linux.app_tls,20,1,0,0,0,0,1,0,1,0,27856.0,0.874338626861572,True
dynamorio/build/suite/tests/bin/linux.readlink,31,1,0,0,0,0,1,34,1,0,28024.0,0.551086187362671,True
dynamorio/build/suite/tests/bin/linux.fib-conflict,93400776,1,0,0,0,0,1,0,1,0,27792.0,3.01371645927429,True
AVERAGE,3408869.119205298,1.0529801324503312,21.649006622516556,21.496688741721854,120039.76821192053,59768.54255847935,1.0529801324503312,55150.986754966885,0.8569525038657356,0.010597165008436618,268052.5780346821,26.870212678964364,
SUM,514739237.0,159.0,3269.0,3246.0,18126005.0,9025049.926330382,159.0,8327799.0,129.39982808372608,1.6001719162739294,46373096.0,4648.546793460835,
